animal;sessao;linhagem;tempo;respcorpo;resporelha;resporelha2;respingesta;respcauda;respolho;resporlev;resporass;resporneu;ncorpo;ncabeca;ncabecaor;norelha;ncauda;ningesta;ncaudapos;nolho
74;Se1;s-;Antes;1;0,716434236;0,723466667;0,4658;0,012;0,319557436;0,698666667;0,0248;0,276533333;0;10;19;4;4;1;2;27
74;Se1;s-;Depois;1;0,9968;0,9968;0;0;0,218680089;0,9968;0;0,0032;0;2;6;4;6;0;0;24
74;Se1;s-;Durante;1;1;1;0,226066667;0,035466667;0,026096314;0,945866667;0,054133333;0;0;1;0;2;8;0;8;23
74;Se2;s-;Antes;1;0;0,008444444;1;0;0,302860975;0;0,008444444;0,991555556;0;6;21;2;0;0;0;17
74;Se2;s-;Depois;1;1;1;0;0,003555556;0,184615385;0,785388889;0,214611111;0;0;8;21;2;0;0;0;23
74;Se2;s-;Durante;1;1;1;1;0,018;0,971285324;0,006444444;0,993555556;0;0;0;0;3;8;0;0;27
74;Se3;s-;Antes;1;0,358247093;0,662160344;1;0,010133333;0,189728492;0,186933333;0,4694;0,334866667;0;8;10;12;6;1;0;6
74;Se3;s-;Depois;1;0,910869565;0,978133333;1;0,028266667;0;0,223466667;0,754666667;0,021866667;0;2;7;2;0;0;0;6
74;Se3;s-;Durante;1;1;1;0;0,020266667;0,033913043;0,354333333;0,610133333;0;0;1;0;0;12;0;0;8
109;Se1;s+;Antes;1;0,510806916;0,5926;1;0,027733333;0,276343129;0,4254;0,1672;0,4074;2;18;21;40;2;1;0;25
109;Se1;s+;Depois;1;1;1;0;0;0,040290381;0,996533333;0,003466667;0;0;0;6;8;3;0;0;12
109;Se1;s+;Durante;1;1;1;1;0;0,159466667;0,975466667;0,024533333;0;0;0;0;4;18;0;12;9
109;Se2;s+;Antes;1;0,440741283;0,491;0,024;0,0226;0;0,401133333;0,089866667;0,509;3;7;6;5;8;1;0;28
109;Se2;s+;Depois;1;0,89289107;0,9098;0;0,027733333;0;0,751933333;0,157866667;0,0902;0;0;0;4;6;0;0;24
109;Se2;s+;Durante;1;1;1;0,997;0,0096;0,054127939;0,341666667;0,658333333;0;0;0;0;2;24;0;0;7
109;Se3;s+;Antes;1;0;0,007611111;0,742611111;0,071333333;0,960888889;0;0,007611111;0,992388889;3;5;4;4;0;1;0;18
109;Se3;s+;Depois;1;0;0,400277778;0;0,049555556;0,961555556;0;0,400277778;0,599722222;0;0;8;1;0;0;0;23
109;Se3;s+;Durante;1;0,515151515;0,958706347;1;0,063333333;0,253111111;0,030222222;0,630166667;0,028444444;0;0;0;1;6;0;0;15
140;Se1;s-;Antes;1;1;1;1;0,058666667;0,33139093;0,861333333;0,138666667;0;2;6;11;5;0;0;0;24
140;Se1;s-;Depois;1;1;1;0;0,042444444;0,41949253;0,983388889;0,016611111;0;5;7;10;0;0;0;0;17
140;Se1;s-;Durante;1;1;1;1;0,048666667;0,007084095;1;0;0;0;0;0;3;6;0;6;35
140;Se2;s-;Antes;1;0,318866667;0,318866667;0;0,009333333;0,280849905;0,318866667;0;0,681133333;2;4;29;6;8;1;1;16
140;Se2;s-;Depois;1;0,693403014;0,722587719;1;0,0176;0,107730952;0,610333333;0,0926;0,269866667;3;2;4;1;0;1;0;20
140;Se2;s-;Durante;1;0,989442428;0,991466667;0;0,0168;0;0,799733333;0,191733333;0,008533333;0;4;4;2;15;0;11;35
140;Se3;s-;Antes;1;0,374250798;0,45667748;0,339933333;0,013333333;0,011090573;0,320533333;0,129933333;0,535933333;5;5;6;3;2;1;0;2
140;Se3;s-;Depois;0,951;1;1;0;0,016;0,03633678;0,9478;0,0522;0;9;4;6;1;0;0;0;6
140;Se3;s-;Durante;0,333133333;1;1;0,3754;0;0,366884037;0,604066667;0,395933333;0;0;0;0;0;10;0;8;6
192;Se1;s-;Antes;1;0,358858528;0,586836126;0,989266667;0,003733333;0;0,217133333;0,333866667;0,387933333;0;8;33;9;0;0;0;36
192;Se1;s-;Depois;0,311;1;1;0,5418;0,024;0,392274211;0,563666667;0,436333333;0;6;5;42;20;2;0;1;25
192;Se1;s-;Durante;0,1606;1;1;0,2538;0;0,183606557;0,971733333;0,028266667;0;0;5;25;16;0;0;0;20
192;Se2;s-;Antes;1;0;0,029513344;0;0,080444444;0,778003613;0;0,020888889;0,686888889;0;4;25;12;2;0;0;22
192;Se2;s-;Depois;1;0,86355884;0,96;1;0,057777778;0,792175486;0,253166667;0,706833333;0,04;0;18;31;5;0;2;0;18
192;Se2;s-;Durante;1;1;1;0;0,062833333;0,247002941;1;0;0;2;5;4;4;2;0;0;25
192;Se3;s-;Antes;0;0,510455105;0,893866667;1;0,005066667;0,2432;0,110666667;0,7832;0,106133333;4;16;25;17;0;0;0;16
192;Se3;s-;Depois;1;0,726355248;0,73921407;0;0,0096;0;0,671733333;0,0456;0,253066667;0;5;17;12;2;0;0;16
192;Se3;s-;Durante;0;1;1;1;0;1;0,119;0,881;0;0;3;5;2;0;0;0;17
219;Se1;s-;Antes;0;0,037127953;0,1632;1;0,0208;0,586933333;0,032266667;0,130933333;0,8368;2;8;20;17;0;0;0;26
219;Se1;s-;Depois;0;0,933432109;0,958066667;1;0,012466667;0,361014686;0,588;0,370066667;0,041933333;0;0;0;3;13;0;0;8
219;Se1;s-;Durante;0;1;1;1;0;0,516742566;0,710866667;0,289133333;0;0;0;0;8;22;0;3;27
219;Se2;s-;Antes;1;0,625785002;0,729866667;0;0,050666667;0;0,451733333;0,278133333;0,270133333;2;6;18;4;0;0;4;4
219;Se2;s-;Depois;1;0,978714559;0,982851018;0;0,016266667;0;0,784733333;0,1934;0,017066667;0;2;12;3;2;0;0;8
219;Se2;s-;Durante;1;0,992586002;0,993286788;0;0,008;0;0,892533333;0,093866667;0,006666667;0;0;2;0;33;0;2;17
219;Se3;s-;Antes;1;0,052727917;0,052727917;1;0,014888889;0,689777778;0,049611111;0;0,891277778;2;6;19;8;10;0;0;25
219;Se3;s-;Depois;0;1;1;1;0;0,7615924;0,117555556;0,882444444;0;0;0;0;4;18;0;0;8
219;Se3;s-;Durante;0;NA;1;0,787055556;0;0,905777778;0;1;0;0;0;0;5;31;0;4;15
263;Se1;s+;Antes;1;0,043777778;0,043777778;1;0,106;0,563333333;0,043777778;0;0,956222222;4;11;22;25;4;5;0;26
263;Se1;s+;Depois;0;1;1;1;0,057111111;0,598444444;0,01;0,99;0;3;12;7;2;0;1;0;24
263;Se1;s+;Durante;0;1;1;1;0,012888889;0,326888889;0,104055556;0,895944444;0;0;2;7;22;44;0;14;13
263;Se2;s+;Antes;1;0,153993856;0,265666667;0,8098;0,007466667;0,087185165;0,133666667;0,132;0,734333333;2;14;21;12;4;3;0;42
263;Se2;s+;Depois;1;0,99064601;0,9936;0;0;0,0056;0,6778;0,3158;0,0064;0;7;12;13;10;4;6;17
263;Se2;s+;Durante;1;1;1;0;0;0;0,9024;0,0976;0;2;3;8;11;39;0;10;28
263;Se3;s+;Antes;1;0,136518771;0,915666667;0;0;0,06409225;0,013333333;0,902333333;0,084333333;2;9;11;14;4;4;2;25
263;Se3;s+;Depois;1;0,272766809;0,272766809;0;0,014933333;0;0,209066667;0;0,5574;2;6;8;9;0;3;0;18
263;Se3;s+;Durante;1;1;1;0,932733333;0,009333333;0,009066667;0,9712;0,0288;0;0;4;5;3;27;0;9;10
273;Se1;s-;Antes;1;0,974724513;0,978133333;0;0;0,059072923;0,843266667;0,134866667;0,021866667;0;6;10;5;0;0;0;23
273;Se1;s-;Depois;1;1;1;0,430733333;0,032;0;0,9664;0,0336;0;0;2;1;2;2;0;0;14
273;Se1;s-;Durante;0,122466667;1;1;0,020733333;0,007733333;0;0,082733333;0,917266667;0;0;1;5;1;2;0;0;19
273;Se2;s-;Antes;1;0;0,7415;0;0,008666667;0,015628489;0;0,7415;0,2585;4;6;14;4;4;1;0;12
273;Se2;s-;Depois;1;0,673919031;0,802666667;0;0;0,037705667;0,407833333;0,394833333;0,197333333;0;4;0;0;0;0;0;3
273;Se2;s-;Durante;1;0,921784908;0,982666667;0;0,006888889;0,117883456;0,204277778;0,778388889;0,017333333;0;0;0;2;4;0;0;11
273;Se3;s-;Antes;1;0,950135501;0,950933333;1;0,0288;0,017408124;0,934933333;0,016;0,049066667;0;2;1;0;0;1;0;6
273;Se3;s-;Depois;1;0,978324936;0,9848;0;0;0;0,686066667;0,298733333;0,0152;2;4;11;8;2;0;0;27
273;Se3;s-;Durante;1;1;1;0;0,004533333;0,128752887;0,7038;0,2962;0;0;0;0;2;0;0;0;10
297;Se1;s-;Antes;0,199;1;1;0;0;0,09512342;1;0;0;0;3;13;17;7;2;0;26
297;Se1;s-;Depois;0,128866667;1;1;0,101533333;0;0,2548967;0,1358;0,8642;0;0;1;0;1;2;0;0;13
297;Se1;s-;Durante;0,225933333;1;1;1;0;0,026394721;0,5214;0,4786;0;0;0;0;4;12;0;8;12
297;Se2;s-;Antes;0,996066667;0,822070557;0,8766;0;0,028533333;0,010224274;0,570133333;0,306466667;0,1234;0;4;7;11;4;1;0;11
297;Se2;s-;Depois;1;0,943994364;0,957165948;0;0,006666667;0,020321504;0,714666667;0,2328;0,0424;0;9;10;8;4;0;0;13
297;Se2;s-;Durante;1;0,98759534;0,990133333;0;0,0056;0;0,785533333;0,2046;0,009866667;0;0;1;5;12;0;10;11
297;Se3;s-;Antes;1;1;1;0;0,044222222;0,856199906;0,091833333;0,908166667;0;2;8;16;17;8;0;0;12
297;Se3;s-;Depois;1;1;1;1;0,005333333;0,033946252;0,3955;0,6045;0;2;12;33;13;6;0;0;10
297;Se3;s-;Durante;1;NA;1;0;0,015111111;0,424;0;1;0;0;1;0;0;10;0;6;12
303;Se1;s-;Antes;1;0;0,0805;0;0,056666667;0,304639047;0;0,0805;0,9195;0;5;19;16;6;0;2;6
303;Se1;s-;Depois;1;1;1;0;0,099722222;0,303177298;0,958888889;0,041111111;0;0;0;1;4;2;1;0;37
303;Se1;s-;Durante;1;1;1;1;0,085333333;0,035777778;1;0;0;0;0;0;1;2;0;2;5
303;Se2;s-;Antes;0;0,655485041;0,721333333;0,333533333;0;0,020533333;0,5302;0,191133333;0,278666667;2;4;23;18;4;0;0;2
