n,inst ,lock,set_rex,segment,mem_xchg,p0156,p06,p23,p237,p4,p1,p15,p015,p5,p0,p05,p01,p6,min_lat,max_lat
0,ADC,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2
1,ADC,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2
2,ADC,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2
3,ADC,0,0,0,0,3,0,1,1,1,0,0,0,0,0,0,0,0,2,11
4,ADC,0,0,0,0,3,0,1,1,1,0,0,0,0,0,0,0,0,2,11
5,ADC,0,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0,1,10
6,ADC,0,0,0,0,3,0,1,1,1,0,0,0,0,0,0,0,0,2,10
7,ADC,0,0,0,0,3,0,1,1,1,0,0,0,0,0,0,0,0,2,10
8,ADC,0,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0,1,10
9,ADC,0,0,0,0,3,0,1,1,1,0,0,0,0,0,0,0,0,2,10
10,ADC,0,0,0,0,3,0,1,1,1,0,0,0,0,0,0,0,0,2,10
11,ADC,0,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0,1,10
12,ADC,0,0,0,0,3,0,1,1,1,0,0,0,0,0,0,0,0,2,11
13,ADC,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
14,ADC,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
15,ADC,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,6
16,ADC,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
17,ADC,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
18,ADC,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,6
19,ADC,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
20,ADC,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
21,ADC,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,6
22,ADC,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2
23,ADC_11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
24,ADC_11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
25,ADC_11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
26,ADC_13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
27,ADC_13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
28,ADC_13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
29,ADC_LOCK,1,0,0,0,5,2,2,0,1,0,0,0,0,0,0,0,0,13,30
30,ADC_LOCK,1,0,0,0,5,2,2,0,1,0,0,0,0,0,0,0,0,13,30
31,ADC_LOCK,1,0,0,0,5,3,2,0,1,0,0,0,0,0,0,0,0,13,30
32,ADC_LOCK,1,0,0,0,5,2,2,0,1,0,0,0,0,0,0,0,0,13,29
33,ADC_LOCK,1,0,0,0,5,2,2,0,1,0,0,0,0,0,0,0,0,13,29
34,ADC_LOCK,1,0,0,0,5,3,2,0,1,0,0,0,0,0,0,0,0,13,29
35,ADC_LOCK,1,0,0,0,5,2,2,0,1,0,0,0,0,0,0,0,0,13,29
36,ADC_LOCK,1,0,0,0,5,2,2,0,1,0,0,0,0,0,0,0,0,13,29
37,ADC_LOCK,1,0,0,0,5,3,2,0,1,0,0,0,0,0,0,0,0,13,29
38,ADC_LOCK,1,0,0,0,5,2,2,0,1,0,0,0,0,0,0,0,0,13,30
39,ADC_LOCK_NOREX,1,0,0,0,5,3,2,0,1,0,0,0,0,0,0,0,0,13,30
40,ADC_LOCK_REX,1,0,0,0,5,3,2,0,1,0,0,0,0,0,0,0,0,13,30
41,ADC_NOREX,0,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0,1,11
42,ADC_NOREX,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
43,ADC_NOREX,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,6
44,ADC_NOREX_10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
45,ADC_NOREX_12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
46,ADC_REX,0,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0,1,12
47,ADC_REX,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
48,ADC_REX,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,6
49,ADC_REX_10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
50,ADC_REX_12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
51,ADD,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
52,ADD,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
53,ADD,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
54,ADD,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,3,11
55,ADD,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,3,11
56,ADD,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,11
57,ADD,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,3,10
58,ADD,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,3,10
59,ADD,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,10
60,ADD,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,3,10
61,ADD,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,3,10
62,ADD,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,10
63,ADD,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,3,11
64,ADD,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
65,ADD,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
66,ADD,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,6
67,ADD,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
68,ADD,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
69,ADD,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,6
70,ADD,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
71,ADD,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
72,ADD,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,6
73,ADD,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
74,ADD_01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
75,ADD_01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
76,ADD_01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
77,ADD_03,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
78,ADD_03,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
79,ADD_03,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
80,ADD_LOCK,1,0,0,0,4,2,2,0,1,0,0,0,0,0,0,0,0,15,30
81,ADD_LOCK,1,0,0,0,4,2,2,0,1,0,0,0,0,0,0,0,0,15,30
82,ADD_LOCK,1,0,0,0,4,2,2,0,1,0,0,0,0,0,0,0,0,12,30
83,ADD_LOCK,1,0,0,0,4,2,2,0,1,0,0,0,0,0,0,0,0,15,32
84,ADD_LOCK,1,0,0,0,4,2,2,0,1,0,0,0,0,0,0,0,0,15,29
85,ADD_LOCK,1,0,0,0,4,2,2,0,1,0,0,0,0,0,0,0,0,12,29
86,ADD_LOCK,1,0,0,0,4,2,2,0,1,0,0,0,0,0,0,0,0,15,29
87,ADD_LOCK,1,0,0,0,4,2,2,0,1,0,0,0,0,0,0,0,0,15,29
88,ADD_LOCK,1,0,0,0,4,2,2,0,1,0,0,0,0,0,0,0,0,12,29
89,ADD_LOCK,1,0,0,0,4,2,2,0,1,0,0,0,0,0,0,0,0,15,30
90,ADD_LOCK_NOREX,1,0,0,0,4,2,2,0,1,0,0,0,0,0,0,0,0,12,30
91,ADD_LOCK_REX,1,0,0,0,4,2,2,0,1,0,0,0,0,0,0,0,0,12,30
92,ADD_NOREX,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,11
93,ADD_NOREX,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
94,ADD_NOREX,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,6
95,ADD_NOREX_00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
96,ADD_NOREX_02,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
97,ADD_REX,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,11
98,ADD_REX,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
99,ADD_REX,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,6
100,ADD_REX_00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
101,ADD_REX_02,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
102,AND,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
103,AND,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
104,AND,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
105,AND,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,3,11
106,AND,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,3,11
107,AND,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,11
108,AND,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,3,10
109,AND,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,3,10
110,AND,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,10
111,AND,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,3,10
112,AND,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,3,10
113,AND,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,10
114,AND,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,3,11
115,AND,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
116,AND,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
117,AND,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,6
118,AND,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
119,AND,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
120,AND,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,6
121,AND,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
