Idx,Code,Instruction,OP0,OP1,OP2,LOCK,SET -REX,SEGMENT,MEM_XCHG,p0156,p06,p23,p237,p4,p1,p15,p015,p5,p0,p05,p01,p6,Min. Latency,Max. Latency,Count
0,ADC_AL_IMMb+I8,ADC,AL,I8,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0
1,ADC_GPR8_GPR8_10+R8+R8,ADC_NOREX_10,R8,R8,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2,ADC_GPR8_GPR8_10+R8+R8,ADC_REX_10,R8,R8,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
3,ADC_GPR8_GPR8_12+R8+R8,ADC_NOREX_12,R8,R8,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
4,ADC_GPR8_GPR8_12+R8+R8,ADC_REX_12,R8,R8,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
5,ADC_GPR8_IMMb_80r2+R8+I8,ADC_NOREX,R8,I8,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
6,ADC_GPR8_IMMb_80r2+R8+I8,ADC_REX,R8,I8,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
7,ADC_GPR8_MEMb+R8+M8,ADC_NOREX,R8,M8,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,6,0
8,ADC_GPR8_MEMb+R8+M8,ADC_REX,R8,M8,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,6,0
9,ADC_GPRv_GPRv_11+R16+R16,ADC_11,R16,R16,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
10,ADC_GPRv_GPRv_11+R32+R32,ADC_11,R32,R32,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
11,ADC_GPRv_GPRv_11+R64+R64,ADC_11,R64,R64,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,219628
12,ADC_GPRv_GPRv_13+R16+R16,ADC_13,R16,R16,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
13,ADC_GPRv_GPRv_13+R32+R32,ADC_13,R32,R32,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
14,ADC_GPRv_GPRv_13+R64+R64,ADC_13,R64,R64,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
15,ADC_GPRv_IMMb+R16+I8,ADC,R16,I8,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
16,ADC_GPRv_IMMb+R32+I8,ADC,R32,I8,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,344195340
17,ADC_GPRv_IMMb+R64+I8,ADC,R64,I8,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,917033324
18,ADC_GPRv_IMMz+R16+I16,ADC,R16,I16,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
19,ADC_GPRv_IMMz+R32+I32,ADC,R32,I32,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
20,ADC_GPRv_IMMz+R64+I32,ADC,R64,I32,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
21,ADC_GPRv_MEMv+R16+M16,ADC,R16,M16,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,6,0
22,ADC_GPRv_MEMv+R32+M32,ADC,R32,M32,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,6,0
23,ADC_GPRv_MEMv+R64+M64,ADC,R64,M64,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,6,0
24,ADC_LOCK_MEMb_GPR8+M8+R8,ADC_LOCK_NOREX,M8,R8,,1,0,0,0,5,3,2,0,1,0,0,0,0,0,0,0,0,13,30,0
25,ADC_LOCK_MEMb_GPR8+M8+R8,ADC_LOCK_REX,M8,R8,,1,0,0,0,5,3,2,0,1,0,0,0,0,0,0,0,0,13,30,0
26,ADC_LOCK_MEMb_IMMb_80r2+M8+I8,ADC_LOCK,M8,I8,,1,0,0,0,5,2,2,0,1,0,0,0,0,0,0,0,0,13,30,0
27,ADC_LOCK_MEMv_GPRv+M16+R16,ADC_LOCK,M16,R16,,1,0,0,0,5,3,2,0,1,0,0,0,0,0,0,0,0,13,30,0
28,ADC_LOCK_MEMv_GPRv+M32+R32,ADC_LOCK,M32,R32,,1,0,0,0,5,3,2,0,1,0,0,0,0,0,0,0,0,13,29,0
29,ADC_LOCK_MEMv_GPRv+M64+R64,ADC_LOCK,M64,R64,,1,0,0,0,5,3,2,0,1,0,0,0,0,0,0,0,0,13,29,0
30,ADC_LOCK_MEMv_IMMb+M16+I8,ADC_LOCK,M16,I8,,1,0,0,0,5,2,2,0,1,0,0,0,0,0,0,0,0,13,30,0
31,ADC_LOCK_MEMv_IMMb+M32+I8,ADC_LOCK,M32,I8,,1,0,0,0,5,2,2,0,1,0,0,0,0,0,0,0,0,13,29,0
