n,inst ,p0156,p06,p23,p237,p4,p1,p15,p015,p5,p0,p05,p01,p6,min_lat,max_lat
0,VADDPD,0,0,1,0,0,0,0,0,0,0,0,1,0,4,11
1,VADDPD,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4
2,VADDPD,0,0,1,0,0,0,0,0,0,0,0,1,0,4,12
3,VADDPD,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4
4,VADDPS,0,0,1,0,0,0,0,0,0,0,0,1,0,4,11
5,VADDPS,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4
6,VADDPS,0,0,1,0,0,0,0,0,0,0,0,1,0,4,12
7,VADDPS,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4
8,VADDSD,0,0,1,0,0,0,0,0,0,0,0,1,0,4,11
9,VADDSD,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4
10,VADDSS,0,0,1,0,0,0,0,0,0,0,0,1,0,4,11
11,VADDSS,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4
12,VADDSUBPD,0,0,1,0,0,0,0,0,0,0,0,1,0,4,11
13,VADDSUBPD,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4
14,VADDSUBPD,0,0,1,0,0,0,0,0,0,0,0,1,0,4,12
15,VADDSUBPD,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4
16,VADDSUBPS,0,0,1,0,0,0,0,0,0,0,0,1,0,4,11
17,VADDSUBPS,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4
18,VADDSUBPS,0,0,1,0,0,0,0,0,0,0,0,1,0,4,12
19,VADDSUBPS,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4
20,VANDNPD,0,0,1,0,0,0,0,1,0,0,0,0,0,1,8
21,VANDNPD,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
22,VANDNPD,0,0,1,0,0,0,0,1,0,0,0,0,0,1,9
23,VANDNPD,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
24,VANDNPS,0,0,1,0,0,0,0,1,0,0,0,0,0,1,8
25,VANDNPS,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
26,VANDNPS,0,0,1,0,0,0,0,1,0,0,0,0,0,1,9
27,VANDNPS,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
28,VANDPD,0,0,1,0,0,0,0,1,0,0,0,0,0,1,8
29,VANDPD,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
30,VANDPD,0,0,1,0,0,0,0,1,0,0,0,0,0,1,9
31,VANDPD,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
