Idx,Code,Instruction,Extension,OP0,OP1,OP2,OP3,p0156,p06,p23,p237,p4,p1,p15,p015,p5,p0,p05,p01,p6,Min. Latency,Max. Latency,Count
0,ADDPD_XMMpd_MEMpd+R128+M128,ADDPD,SSE2,XMM,M128,,,0,0,1,0,0,0,0,0,0,0,0,1,0,4,11,0
1,ADDPD_XMMpd_XMMpd+R128+R128,ADDPD,SSE2,XMM,XMM,,,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0
2,ADDPS_XMMps_MEMps+R128+M128,ADDPS,SSE,XMM,M128,,,0,0,1,0,0,0,0,0,0,0,0,1,0,4,11,0
3,ADDPS_XMMps_XMMps+R128+R128,ADDPS,SSE,XMM,XMM,,,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0
4,ADDSD_XMMsd_MEMsd+R64+M64,ADDSD,SSE2,XMM,M64,,,0,0,1,0,0,0,0,0,0,0,0,1,0,4,11,303831774
5,ADDSD_XMMsd_XMMsd+R64+R64,ADDSD,SSE2,XMM,XMM,,,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,3399542308
6,ADDSS_XMMss_MEMss+R32+M32,ADDSS,SSE,XMM,M32,,,0,0,1,0,0,0,0,0,0,0,0,1,0,4,11,0
7,ADDSS_XMMss_XMMss+R32+R32,ADDSS,SSE,XMM,XMM,,,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0
8,ADDSUBPD_XMMpd_MEMpd+R128+M128,ADDSUBPD,SSE3,XMM,M128,,,0,0,1,0,0,0,0,0,0,0,0,1,0,4,11,0
9,ADDSUBPD_XMMpd_XMMpd+R128+R128,ADDSUBPD,SSE3,XMM,XMM,,,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0
10,ADDSUBPS_XMMps_MEMps+R128+M128,ADDSUBPS,SSE3,XMM,M128,,,0,0,1,0,0,0,0,0,0,0,0,1,0,4,11,0
11,ADDSUBPS_XMMps_XMMps+R128+R128,ADDSUBPS,SSE3,XMM,XMM,,,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0
12,ANDNPD_XMMxuq_MEMxuq+R128+M128,ANDNPD,SSE2,XMM,M128,,,0,0,1,0,0,0,0,1,0,0,0,0,0,1,8,0
13,ANDNPD_XMMxuq_XMMxuq+R128+R128,ANDNPD,SSE2,XMM,XMM,,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,77089732
14,ANDNPS_XMMxud_MEMxud+R128+M128,ANDNPS,SSE,XMM,M128,,,0,0,1,0,0,0,0,1,0,0,0,0,0,1,8,0
15,ANDNPS_XMMxud_XMMxud+R128+R128,ANDNPS,SSE,XMM,XMM,,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
16,ANDPD_XMMxuq_MEMxuq+R128+M128,ANDPD,SSE2,XMM,M128,,,0,0,1,0,0,0,0,1,0,0,0,0,0,1,8,488569309
17,ANDPD_XMMxuq_XMMxuq+R128+R128,ANDPD,SSE2,XMM,XMM,,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,6292476711
18,ANDPS_XMMxud_MEMxud+R128+M128,ANDPS,SSE,XMM,M128,,,0,0,1,0,0,0,0,1,0,0,0,0,0,1,8,0
19,ANDPS_XMMxud_XMMxud+R128+R128,ANDPS,SSE,XMM,XMM,,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
20,BLENDPD_XMMdq_MEMdq_IMMb+R128+M128+I8,BLENDPD,SSE4,XMM,M128,I8,,0,0,1,0,0,0,0,1,0,0,0,0,0,1,8,0
21,BLENDPD_XMMdq_XMMdq_IMMb+R128+R128+I8,BLENDPD,SSE4,XMM,XMM,I8,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
22,BLENDPS_XMMdq_MEMdq_IMMb+R128+M128+I8,BLENDPS,SSE4,XMM,M128,I8,,0,0,1,0,0,0,0,1,0,0,0,0,0,1,8,0
23,BLENDPS_XMMdq_XMMdq_IMMb+R128+R128+I8,BLENDPS,SSE4,XMM,XMM,I8,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
24,BLENDVPD_XMMdq_MEMdq+R128+M128,BLENDVPD,SSE4,XMM,M128,,,0,0,1,0,0,0,0,1,0,0,0,0,0,1,8,0
25,BLENDVPD_XMMdq_XMMdq+R128+R128,BLENDVPD,SSE4,XMM,XMM,,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
26,BLENDVPS_XMMdq_MEMdq+R128+M128,BLENDVPS,SSE4,XMM,M128,,,0,0,1,0,0,0,0,1,0,0,0,0,0,1,8,0
27,BLENDVPS_XMMdq_XMMdq+R128+R128,BLENDVPS,SSE4,XMM,XMM,,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
28,CMPPD_XMMpd_MEMpd_IMMb+R128+M128+I8,CMPPD,SSE2,XMM,M128,I8,,0,0,1,0,0,0,0,0,0,0,0,1,0,4,11,0
29,CMPPD_XMMpd_XMMpd_IMMb+R128+R128+I8,CMPPD,SSE2,XMM,XMM,I8,,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0
30,CMPPS_XMMps_MEMps_IMMb+R128+M128+I8,CMPPS,SSE,XMM,M128,I8,,0,0,1,0,0,0,0,0,0,0,0,1,0,4,11,0
31,CMPPS_XMMps_XMMps_IMMb+R128+R128+I8,CMPPS,SSE,XMM,XMM,I8,,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0
32,CMPSD_XMM_XMMsd_MEMsd_IMMb+R64+M64+I8,CMPSD_XMM,SSE2,XMM,M64,I8,,0,0,1,0,0,0,0,0,0,0,0,1,0,4,11,0
33,CMPSD_XMM_XMMsd_XMMsd_IMMb+R64+R64+I8,CMPSD_XMM,SSE2,XMM,XMM,I8,,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0
34,CMPSS_XMMss_MEMss_IMMb+R32+M32+I8,CMPSS,SSE,XMM,M32,I8,,0,0,1,0,0,0,0,0,0,0,0,1,0,4,11,0
35,CMPSS_XMMss_XMMss_IMMb+R32+R32+I8,CMPSS,SSE,XMM,XMM,I8,,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0
36,COMISD_XMMsd_MEMsd+R64+M64,COMISD,SSE2,XMM,M64,,,0,0,1,0,0,0,0,0,0,1,0,0,0,3,8,0
37,COMISD_XMMsd_XMMsd+R64+R64,COMISD,SSE2,XMM,XMM,,,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,0
38,COMISS_XMMss_MEMss+R32+M32,COMISS,SSE,XMM,M32,,,0,0,1,0,0,0,0,0,0,1,0,0,0,3,8,0
39,COMISS_XMMss_XMMss+R32+R32,COMISS,SSE,XMM,XMM,,,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,0
40,CRC32_GPRyy_GPR8b+R32+R8,CRC32_NOREX,SSE4,R32,R8,,,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0
41,CRC32_GPRyy_GPR8b+R32+R8,CRC32_REX,SSE4,R32,R8,,,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0
42,CRC32_GPRyy_GPR8b+R64+R8,CRC32_REX,SSE4,R64,R8,,,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0
43,CRC32_GPRyy_GPRv+R32+R16,CRC32,SSE4,R32,R16,,,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0
44,CRC32_GPRyy_GPRv+R32+R32,CRC32,SSE4,R32,R32,,,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0
45,CRC32_GPRyy_GPRv+R64+R64,CRC32,SSE4,R64,R64,,,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0
46,CRC32_GPRyy_MEMb+R32+M8,CRC32,SSE4,R32,M8,,,0,0,1,0,0,1,0,0,0,0,0,0,0,3,8,0
47,CRC32_GPRyy_MEMb+R64+M8,CRC32,SSE4,R64,M8,,,0,0,1,0,0,1,0,0,0,0,0,0,0,3,8,0
48,CRC32_GPRyy_MEMv+R32+M16,CRC32,SSE4,R32,M16,,,0,0,1,0,0,1,0,0,0,0,0,0,0,3,8,0
49,CRC32_GPRyy_MEMv+R32+M32,CRC32,SSE4,R32,M32,,,0,0,1,0,0,1,0,0,0,0,0,0,0,3,8,0
50,CRC32_GPRyy_MEMv+R64+M64,CRC32,SSE4,R64,M64,,,0,0,1,0,0,1,0,0,0,0,0,0,0,3,8,0
51,CVTDQ2PD_XMMpd_MEMq+R128+M64,CVTDQ2PD,SSE2,XMM,M64,,,0,0,1,0,0,0,0,0,0,0,0,1,0,8,11,0
52,CVTDQ2PD_XMMpd_XMMq+R128+R64,CVTDQ2PD,SSE2,XMM,XMM,,,0,0,0,0,0,0,0,0,1,0,0,1,0,5,5,0
53,CVTDQ2PS_XMMps_MEMdq+R128+M128,CVTDQ2PS,SSE2,XMM,M128,,,0,0,1,0,0,0,0,0,0,0,0,1,0,8,11,0
54,CVTDQ2PS_XMMps_XMMdq+R128+R128,CVTDQ2PS,SSE2,XMM,XMM,,,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0
55,CVTPD2DQ_XMMdq_MEMpd+R128+M128,CVTPD2DQ,SSE2,XMM,M128,,,0,0,1,0,0,0,0,0,1,0,0,1,0,9,12,0
56,CVTPD2DQ_XMMdq_XMMpd+R128+R128,CVTPD2DQ,SSE2,XMM,XMM,,,0,0,0,0,0,0,0,0,1,0,0,1,0,5,5,0
57,CVTPD2PI_MMXq_MEMpd+R64+M128,CVTPD2PI,SSE2,MM,M128,,,0,0,1,0,0,0,0,0,1,0,0,1,0,12,19,0
58,CVTPD2PI_MMXq_XMMpd+R64+R128,CVTPD2PI,SSE2,MM,XMM,,,0,0,0,0,0,0,0,0,1,0,0,1,0,8,8,0
59,CVTPD2PS_XMMps_MEMpd+R128+M128,CVTPD2PS,SSE2,XMM,M128,,,0,0,1,0,0,0,0,0,1,0,0,1,0,9,12,0
60,CVTPD2PS_XMMps_XMMpd+R128+R128,CVTPD2PS,SSE2,XMM,XMM,,,0,0,0,0,0,0,0,0,1,0,0,1,0,5,5,0
