"","n","inst","lock","segment","p0156","p06","p23","p237","p4","p1","p15","p0","p05","min_lat","max_lat","count","pred_min","pred_max","pearson_min","pearson_max","raw_min","raw_max"
"174",173,"BTC_LOCK","1",0,6,5,2,"0","1","1","0","0",0,15,34,0,31.3133226930613,58.5167623476083,0.183651277686942,-0.759776449621842,-16.3133226930613,-24.5167623476083
"175",174,"BTC_LOCK","1",0,6,5,2,"0","1","1","0","0",0,15,33,0,31.3133226930613,58.5167623476083,0.221592308731169,-0.790766530565216,-16.3133226930613,-25.5167623476083
"176",175,"BTC_LOCK","1",0,4,5,2,"0","1","1","0","0",0,15,32,0,27.4964694932328,47.6855774172184,0.0568549346996139,-0.57625913172318,-12.4964694932328,-15.6855774172184
"180",179,"BTC","0",0,3,3,2,"0","1","1","0","0",0,3,18,0,13.9265010318132,24.6116194802902,-0.578899841693428,-0.418941069847727,-10.9265010318132,-6.61161948029019
"181",180,"BTC","0",0,3,3,2,"0","1","1","0","0",0,3,17,0,13.9265010318132,24.6116194802902,-0.501323105345499,-0.482305434826175,-10.9265010318132,-7.61161948029019
"182",181,"BTC","0",0,2,3,2,"0","1","1","0","0",0,3,16,0,13.0501621000071,22.2174171919296,-0.544189002978877,-0.428297926250616,-10.0501621000071,-6.21741719192959
"192",191,"BTR_LOCK","1",0,6,5,2,"0","1","1","0","0",0,15,34,0,31.3133226930613,58.5167623476083,0.183651277686942,-0.759776449621842,-16.3133226930613,-24.5167623476083
"193",192,"BTR_LOCK","1",0,6,5,2,"0","1","1","0","0",0,15,33,0,31.3133226930613,58.5167623476083,0.221592308731169,-0.790766530565216,-16.3133226930613,-25.5167623476083
"194",193,"BTR_LOCK","1",0,4,5,2,"0","1","1","0","0",0,15,32,0,27.4964694932328,47.6855774172184,0.0568549346996139,-0.57625913172318,-12.4964694932328,-15.6855774172184
"198",197,"BTR","0",0,3,3,2,"0","1","1","0","0",0,3,18,0,13.9265010318132,24.6116194802902,-0.578899841693428,-0.418941069847727,-10.9265010318132,-6.61161948029019
"199",198,"BTR","0",0,3,3,2,"0","1","1","0","0",0,3,17,0,13.9265010318132,24.6116194802902,-0.501323105345499,-0.482305434826175,-10.9265010318132,-7.61161948029019
"200",199,"BTR","0",0,2,3,2,"0","1","1","0","0",0,3,16,0,13.0501621000071,22.2174171919296,-0.544189002978877,-0.428297926250616,-10.0501621000071,-6.21741719192959
"210",209,"BTS_LOCK","1",0,6,5,2,"0","1","1","0","0",0,15,34,0,31.3133226930613,58.5167623476083,0.183651277686942,-0.759776449621842,-16.3133226930613,-24.5167623476083
"211",210,"BTS_LOCK","1",0,6,5,2,"0","1","1","0","0",0,15,33,0,31.3133226930613,58.5167623476083,0.221592308731169,-0.790766530565216,-16.3133226930613,-25.5167623476083
"212",211,"BTS_LOCK","1",0,4,5,2,"0","1","1","0","0",0,15,32,0,27.4964694932328,47.6855774172184,0.0568549346996139,-0.57625913172318,-12.4964694932328,-15.6855774172184
"215",214,"BTS_LOCK","1",0,3,3,2,"0","1","0","0","0",0,15,33,0,13.228878118321,26.9597480261982,-0.249018231497187,0.355223375270695,1.77112188167896,6.04025197380175
"216",215,"BTS","0",0,3,3,2,"0","1","1","0","0",0,3,18,0,13.9265010318132,24.6116194802902,-0.578899841693428,-0.418941069847727,-10.9265010318132,-6.61161948029019
"217",216,"BTS","0",0,3,3,2,"0","1","1","0","0",0,3,17,0,13.9265010318132,24.6116194802902,-0.501323105345499,-0.482305434826175,-10.9265010318132,-7.61161948029019
"218",217,"BTS","0",0,2,3,2,"0","1","1","0","0",0,3,16,0,13.0501621000071,22.2174171919296,-0.544189002978877,-0.428297926250616,-10.0501621000071,-6.21741719192959
"336",335,"CMPXCHG8B_LOCK","1",0,0,8,2,"0","1","0","1","0",0,14,30,0,18.0694630557045,37.4555769486877,0.0927732380694795,-0.33451954110364,-4.06946305570447,-7.45557694868767
