N,Instruction,LOCK,SET -REX,SEGMENT,MEM_XCHG,p0156,p06,p23,p237,p4,p1,p15,p015,p5,p0,p05,p01,p6,Min Latency,Max Latency
412,DIV,0,0,0,0,7,13,0,0,0,1,1,7,3,2,1,0,0,6,89
423,IDIV,0,0,0,0,0,27,0,0,0,1,5,8,3,2,6,5,0,37,96
1043,VERR,0,0,1,0,0,10,0,0,0,6,0,0,4,5,0,0,0,62,68
411,DIV,0,0,0,0,4,1,0,0,0,0,1,0,4,2,0,0,0,23,28
422,IDIV,0,0,0,0,4,1,0,0,0,0,1,0,4,2,0,0,0,23,28
1045,VERW,0,0,1,0,0,0,0,0,0,8,0,0,5,5,2,1,0,64,69
377,CMPXCHG,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,4
378,CMPXCHG,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,4
379,CMPXCHG,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,4
388,CMPXCHG_NOREX,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,4
390,CMPXCHG_REX,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,4
413,DIV_NOREX,0,0,0,0,4,1,0,0,0,0,1,0,4,2,0,0,0,21,25
414,DIV_REX,0,0,0,0,4,1,0,0,0,0,1,0,4,2,0,0,0,21,25
410,DIV,0,0,0,0,4,1,0,0,0,0,1,0,4,2,0,0,0,21,24
421,IDIV,0,0,0,0,4,1,0,0,0,0,1,0,4,2,0,0,0,21,24
424,IDIV_NOREX,0,0,0,0,5,1,0,0,0,0,1,0,4,2,0,0,0,22,25
425,IDIV_REX,0,0,0,0,5,1,0,0,0,0,1,0,4,2,0,0,0,22,25
686,RCR,0,0,0,0,2,4,0,0,0,2,0,0,0,0,0,0,0,5,8
689,RCR,0,0,0,0,2,4,0,0,0,2,0,0,0,0,0,0,0,5,8
692,RCR,0,0,0,0,2,4,0,0,0,2,0,0,0,0,0,0,0,5,8
695,RCR_NOREX,0,0,0,0,2,5,0,0,0,2,1,1,0,0,0,0,0,6,9
698,RCR_REX,0,0,0,0,2,5,0,0,0,2,1,1,0,0,0,0,0,6,9
659,RCL,0,0,0,0,2,4,0,0,0,2,0,0,0,0,0,0,0,6,8
662,RCL,0,0,0,0,2,4,0,0,0,2,0,0,0,0,0,0,0,6,8
665,RCL,0,0,0,0,2,4,0,0,0,2,0,0,0,0,0,0,0,6,8
696,RCR_NOREX,0,0,0,0,2,5,0,0,0,2,1,1,0,0,0,0,0,6,8
699,RCR_REX,0,0,0,0,2,5,0,0,0,2,1,1,0,0,0,0,0,6,8
917,SHLD_CL,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,3,5
918,SHLD_CL,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,3,5
919,SHLD_CL,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,3,5
920,SHLD_IMMB,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3
921,SHLD_IMMB,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3
922,SHLD_IMMB,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3
956,SHRD_CL,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,3,5
957,SHRD_CL,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,3,5
958,SHRD_CL,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,3,5
959,SHRD_IMMB,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3
