id,nome,status,categoria_geral,categoria_espec,utilidade
3,av.plot,DESATIVADA,DESATIVADA,DESATIVADA/DESCONTINUADA/IRRELEVANTE,
4,av.plots,DESATIVADA,DESATIVADA,DESATIVADA/DESCONTINUADA/IRRELEVANTE,
9,bc,DESATIVADA,DESATIVADA,DESATIVADA/DESCONTINUADA/IRRELEVANTE,
17,box.cox,DESATIVADA,DESATIVADA,DESATIVADA/DESCONTINUADA/IRRELEVANTE,
18,box.cox.powers,DESATIVADA,DESATIVADA,DESATIVADA/DESCONTINUADA/IRRELEVANTE,
19,vif,DESATIVADA,DESATIVADA,DESATIVADA/DESCONTINUADA/IRRELEVANTE,
20,box.tidwell,DESATIVADA,DESATIVADA,DESATIVADA/DESCONTINUADA/IRRELEVANTE,
30,ceres.plot,DESATIVADA,DESATIVADA,DESATIVADA/DESCONTINUADA/IRRELEVANTE,
31,ceres.plots,DESATIVADA,DESATIVADA,DESATIVADA/DESCONTINUADA/IRRELEVANTE,
35,confidence.ellipse,DESATIVADA,DESATIVADA,DESATIVADA/DESCONTINUADA/IRRELEVANTE,
41,cookd,DESATIVADA,DESATIVADA,DESATIVADA/DESCONTINUADA/IRRELEVANTE,
42,cr.plot,DESATIVADA,DESATIVADA,DESATIVADA/DESCONTINUADA/IRRELEVANTE,
43,cr.plots,DESATIVADA,DESATIVADA,DESATIVADA/DESCONTINUADA/IRRELEVANTE,
47,data.ellipse,DESATIVADA,DESATIVADA,DESATIVADA/DESCONTINUADA/IRRELEVANTE,
55,durbin.watson,DESATIVADA,DESATIVADA,DESATIVADA/DESCONTINUADA/IRRELEVANTE,
71,levene.test,DESATIVADA,DESATIVADA,DESATIVADA/DESCONTINUADA/IRRELEVANTE,
73,leverage.plot,DESATIVADA,DESATIVADA,DESATIVADA/DESCONTINUADA/IRRELEVANTE,
74,leverage.plots,DESATIVADA,DESATIVADA,DESATIVADA/DESCONTINUADA/IRRELEVANTE,
78,linear.hypothesis,DESATIVADA,DESATIVADA,DESATIVADA/DESCONTINUADA/IRRELEVANTE,
92,ncv.test,DESATIVADA,DESATIVADA,DESATIVADA/DESCONTINUADA/IRRELEVANTE,
95,outlier.test,DESATIVADA,DESATIVADA,DESATIVADA/DESCONTINUADA/IRRELEVANTE,
103,qq.plot,DESATIVADA,DESATIVADA,DESATIVADA/DESCONTINUADA/IRRELEVANTE,
118,skewPower,DESATIVADA,DESATIVADA,DESATIVADA/DESCONTINUADA/IRRELEVANTE,
123,spread.level.plot,DESATIVADA,DESATIVADA,DESATIVADA/DESCONTINUADA/IRRELEVANTE,
16,bootCase,DESCONTINUADA,DESCONTINUADA,DESATIVADA/DESCONTINUADA/IRRELEVANTE,
94,nextBoot,DESCONTINUADA,DESCONTINUADA,DESATIVADA/DESCONTINUADA/IRRELEVANTE,
27,carHexsticker,HEXSTICKER,HEXSTICKER,DESATIVADA/DESCONTINUADA/IRRELEVANTE,
28,carPalette,PALETA,PALETA,DESATIVADA/DESCONTINUADA/IRRELEVANTE,
29,carWeb,SITE,SITE,DESATIVADA/DESCONTINUADA/IRRELEVANTE,
120,some,AMOSTRAGEM,AMOSTRAGEM,EXPLORATÓRIA/TRATAMENTO,Amostragem
38,contr.Helmert,OK,CONTRASTES,EXPLORATÓRIA/TRATAMENTO,Contrastes
39,contr.Sum,OK,CONTRASTES,EXPLORATÓRIA/TRATAMENTO,Contrastes
40,contr.Treatment,OK,CONTRASTES,EXPLORATÓRIA/TRATAMENTO,Contrastes
59,Export,ESCRITA,ESCRITA,EXPLORATÓRIA/TRATAMENTO,Exportação
